ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
111,saldanha,10,ZA,1585931907,24,-33.01,17.94,89.6,12.75
112,abu samrah,10,SY,1585931907,68,35.3,37.18,54.34,15.59
113,mahebourg,40,MU,1585931908,94,-20.41,57.7,75.2,3.36
114,portel,74,BR,1585931908,62,-1.94,-50.82,89.11,3.98
115,clarksville,75,US,1585931858,55,36.53,-87.36,66.99,4.7
116,ponta do sol,75,PT,1585931908,88,32.67,-17.1,64.4,24.16
117,chokurdakh,86,RU,1585931909,89,70.63,147.92,-17.54,4.54
118,iqaluit,5,CA,1585931909,58,63.75,-68.51,-2.0,23.04
119,poso,99,ID,1585931909,68,-1.4,120.75,79.54,2.89
120,san patricio,5,MX,1585931909,78,19.22,-104.7,80.6,9.17
121,borzna,0,UA,1585931910,54,51.25,32.43,45.45,9.51
122,nguruka,97,TZ,1585931910,69,-5.11,31.04,67.8,4.25
123,buluang,6,PH,1585931910,84,13.31,123.34,76.1,7.38
124,mar del plata,40,AR,1585931910,68,-38.0,-57.56,66.2,5.82
125,puerto ayora,20,EC,1585931911,78,-0.74,-90.35,82.99,9.17
126,leh,89,IN,1585931911,26,34.17,77.58,16.97,4.29
127,yaan,17,NG,1585931911,50,7.38,8.57,90.75,7.23
128,karpathos,20,GR,1585931912,72,35.51,27.21,59.0,11.41
129,consuegra,0,ES,1585931912,51,39.46,-3.61,63.0,2.24
130,bac lieu,9,VN,1585931912,82,9.29,105.72,80.53,10.54
131,menongue,91,AO,1585931912,61,-14.66,17.69,66.94,6.02
132,airai,60,TL,1585931913,70,-8.93,125.41,60.66,1.16
133,longyearbyen,20,SJ,1585931913,57,78.22,15.64,-7.6,24.16
134,owatonna,100,US,1585931913,92,44.08,-93.23,28.99,12.75
135,sao filipe,32,CV,1585931913,67,14.9,-24.5,76.39,15.52
136,yellowknife,90,CA,1585931914,77,62.46,-114.35,-0.4,18.34
137,durban,75,ZA,1585931740,73,-29.86,31.03,72.0,11.41
